Nose,Neck,RShoulder,RElbow,RWrist,LShoulder,LElbow,LWrist,RHip,RKnee,RAnkle,LHip,LKnee,LAnkle,REye,LEye,REar,LEar,Background,label
0,0,68,76,0,0,0,0,0,0,72,32,64,20,64,28,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,0,72,20,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,0,72,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,84,4,0,52,64,16,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,56,64,16,72,24,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,72,36,64,16,80,36,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,80,56,64,16,76,52,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,76,84,64,16,72,88,0,0,0,unknow
0,0,0,0,0,0,0,0,76,28,0,48,60,20,64,88,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,0,64,16,68,88,48,88,0,unknow
0,0,0,0,0,0,0,0,72,84,72,32,64,24,72,88,52,88,52,unknow
12,92,0,0,0,0,0,0,60,92,72,28,64,20,80,16,40,88,52,unknow
16,88,20,92,24,88,0,0,44,92,24,92,64,20,20,88,40,88,52,unknow
12,88,24,88,28,88,40,84,44,88,24,92,32,84,68,84,40,88,56,unknow
12,84,20,88,24,88,32,88,36,84,20,88,32,84,40,84,40,84,52,unknow
12,84,20,84,24,84,32,84,40,80,24,88,36,84,36,80,40,84,52,unknow
12,80,20,84,24,84,36,84,40,80,24,84,32,80,40,80,40,80,52,unknow
12,80,20,80,24,80,36,80,44,80,24,84,36,80,44,80,44,80,52,unknow
12,80,20,80,24,80,36,80,40,76,24,80,36,76,44,76,44,80,56,unknow
16,76,20,80,24,80,32,80,40,76,24,80,32,76,40,76,40,76,52,unknow
16,76,24,76,24,80,36,80,40,76,24,76,36,76,40,72,44,76,56,unknow
16,72,20,76,24,76,36,76,40,72,24,76,36,76,40,68,44,76,56,unknow
16,72,20,72,24,72,32,72,40,68,24,76,32,76,40,68,44,72,56,unknow
16,72,20,72,24,72,36,72,40,68,24,72,36,68,44,68,44,72,56,unknow
12,68,20,72,24,72,36,72,40,68,24,68,32,68,40,64,44,72,56,unknow
12,68,20,68,24,72,36,72,40,68,24,68,32,64,40,64,44,68,56,unknow
12,68,20,68,24,72,32,68,40,64,24,68,32,64,40,64,40,68,56,unknow
12,64,20,68,24,68,32,68,40,64,24,64,32,64,36,60,40,64,52,unknow
12,64,20,64,24,68,32,68,40,64,24,64,32,60,36,60,40,64,52,unknow
12,60,20,64,24,68,32,64,40,60,24,60,32,60,36,56,44,64,56,unknow
12,60,20,60,24,64,32,64,44,60,24,64,32,60,40,60,44,60,56,unknow
16,60,20,60,24,56,32,56,40,56,24,64,36,64,44,64,44,60,56,unknow
16,56,24,60,24,56,36,56,40,56,24,60,36,64,44,64,44,56,56,unknow
16,56,20,56,24,56,36,56,40,52,24,60,36,60,44,64,44,56,56,unknow
16,56,24,56,24,52,36,52,40,52,24,60,36,60,44,64,44,56,56,unknow
16,52,24,56,24,52,32,52,40,48,24,56,32,56,44,60,44,52,56,unknow
16,52,24,52,24,52,32,48,40,48,24,56,36,56,44,60,44,52,56,unknow
16,48,24,52,24,48,32,48,40,44,24,52,36,56,44,56,44,48,56,unknow
16,48,24,48,24,48,32,44,40,44,24,52,32,52,44,52,44,48,56,unknow
16,48,20,48,24,48,36,52,40,48,24,48,32,44,36,44,44,48,56,unknow
12,44,20,48,24,48,36,52,40,48,24,44,32,44,40,40,44,44,56,unknow
12,44,20,44,24,48,32,48,40,48,24,44,32,40,40,40,40,44,56,unknow
16,44,20,44,24,48,36,48,40,48,24,44,32,40,40,40,40,44,56,unknow
16,40,20,40,24,40,32,40,40,40,24,44,32,40,40,36,40,40,56,unknow
16,40,24,40,24,44,36,40,40,40,24,40,32,40,40,36,44,40,56,unknow
16,36,24,40,24,40,36,40,40,36,24,40,32,36,40,36,44,36,56,unknow
16,36,24,36,24,36,36,36,40,32,24,40,32,40,40,32,44,36,56,unknow
16,36,24,36,24,36,36,36,40,32,24,36,32,36,40,32,44,36,56,unknow
16,32,24,36,24,36,36,32,40,28,24,36,36,32,44,28,44,32,56,unknow
16,32,24,32,24,36,36,32,40,28,24,32,36,32,44,28,44,32,56,unknow
16,32,24,32,24,36,36,32,44,28,24,32,36,28,44,28,44,32,56,unknow
16,28,20,32,24,32,36,32,40,28,24,28,32,28,44,24,44,28,56,unknow
16,28,24,28,24,32,32,32,36,28,24,32,32,28,20,28,40,28,56,unknow
16,24,24,28,24,32,32,32,40,24,24,28,32,24,40,20,40,28,56,unknow
16,24,20,24,24,28,32,24,40,24,24,28,32,24,44,28,40,24,56,unknow
12,24,20,24,24,28,32,28,40,24,24,24,36,20,40,20,44,24,56,unknow
16,20,24,24,28,20,32,20,40,24,24,24,32,24,40,20,40,20,52,unknow
16,20,24,20,24,20,32,20,44,24,24,24,36,24,44,24,44,20,56,unknow
16,20,24,20,24,20,36,24,40,24,24,20,32,20,36,16,44,20,56,unknow
16,16,24,20,28,16,32,16,40,24,24,20,32,16,44,20,44,16,56,unknow
16,16,24,16,28,12,0,0,72,4,24,20,24,20,24,20,44,16,56,unknow
16,12,24,16,28,12,0,0,72,4,24,20,24,16,24,16,44,12,60,unknow
16,12,24,12,28,8,56,12,64,0,24,16,32,16,24,16,44,8,56,unknow
16,12,24,8,0,0,44,0,0,0,24,16,36,12,20,12,44,8,60,unknow
0,0,68,76,0,0,0,0,0,0,0,0,36,12,72,32,32,0,44,unknow
0,0,0,0,0,0,0,0,16,4,0,0,48,4,44,12,48,8,56,unknow
8,32,68,76,0,0,0,0,16,0,0,0,40,12,76,0,36,0,44,unknow
8,36,68,76,0,0,0,0,68,12,0,0,32,0,16,0,40,0,44,unknow
0,0,68,76,0,0,0,0,16,0,72,8,88,28,16,0,44,0,44,unknow
0,0,68,76,0,0,0,0,16,0,72,8,72,8,16,0,48,0,48,unknow
0,0,0,0,0,0,0,0,16,0,72,8,40,4,16,0,56,0,0,unknow
0,0,68,76,0,0,0,0,16,0,72,8,72,8,76,0,56,0,0,unknow
0,0,68,76,0,0,0,0,72,8,72,4,72,8,72,8,0,0,0,unknow
0,0,68,76,0,0,0,0,72,8,72,4,56,0,72,8,0,0,0,unknow
0,0,0,0,0,0,0,0,72,8,72,4,56,0,48,28,0,0,0,unknow
0,0,0,0,0,0,0,0,64,0,72,4,84,28,48,28,0,0,0,unknow
0,0,68,76,0,0,0,0,68,0,0,56,84,24,40,28,0,0,0,unknow
0,0,68,76,0,0,0,0,84,4,72,36,56,20,68,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,64,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,16,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,72,28,60,20,64,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,72,20,76,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,60,20,72,36,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,72,36,64,16,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,68,20,64,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,76,28,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,76,72,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,72,28,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,64,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,64,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,68,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,64,16,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,80,12,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,64,16,68,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,48,64,20,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,68,20,76,28,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,72,32,64,20,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,68,24,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,72,28,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,60,20,68,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,48,64,20,68,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,76,44,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,76,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,16,76,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,20,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,68,16,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,20,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,72,0,0,52,64,20,48,24,0,0,0,unknow
0,0,68,76,0,0,0,0,72,4,0,48,56,20,48,24,0,0,0,unknow
0,0,0,0,0,0,0,0,76,4,0,52,56,20,48,24,0,0,0,unknow
0,0,0,0,0,0,0,0,76,4,0,52,60,12,44,16,0,0,0,unknow
8,12,0,0,0,0,0,0,76,4,76,48,84,24,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,16,0,0,0,84,24,36,32,0,0,0,unknow
0,0,68,76,0,0,0,0,16,0,0,0,84,24,20,0,0,0,0,unknow
0,0,68,76,0,0,0,0,16,0,0,0,44,8,16,0,56,0,0,unknow
8,32,68,76,0,0,0,0,72,0,0,0,44,8,20,4,48,0,20,unknow
16,8,0,0,0,0,0,0,20,4,0,0,44,12,16,8,44,0,0,unknow
12,32,0,0,40,0,0,0,0,0,0,0,44,12,16,8,44,0,0,unknow
20,12,68,76,40,8,0,0,24,8,28,8,28,12,20,12,48,8,52,unknow
24,12,68,76,0,0,0,0,72,0,24,12,40,12,24,12,48,4,60,unknow
20,16,24,12,28,12,36,12,44,16,28,12,32,12,28,16,44,12,60,unknow
20,16,28,16,28,12,36,12,76,0,28,12,36,16,24,20,44,12,60,unknow
20,20,24,16,28,12,36,12,44,20,28,16,36,16,28,20,44,12,60,unknow
0,72,0,0,0,0,0,0,76,0,0,0,48,20,20,16,44,16,60,unknow
0,72,68,76,0,0,0,0,0,0,0,0,40,20,76,24,48,16,52,unknow
64,0,68,76,0,0,0,0,28,20,28,20,40,24,24,20,44,20,60,unknow
16,24,24,20,28,20,36,24,32,24,24,20,32,24,20,24,44,24,60,unknow
16,24,24,24,24,24,36,28,32,28,24,24,32,28,24,28,44,24,56,unknow
16,28,24,24,28,24,36,32,40,24,24,24,28,20,20,24,44,24,56,unknow
16,28,24,28,28,24,32,28,40,32,24,24,32,24,44,24,44,28,56,unknow
16,28,24,28,28,28,36,32,44,32,24,28,36,28,44,24,44,28,56,unknow
16,32,24,28,28,28,36,32,44,32,24,28,36,24,44,24,44,32,60,unknow
16,32,24,32,28,28,36,28,44,28,24,28,36,28,44,28,44,28,60,unknow
16,32,24,32,28,32,36,28,44,28,28,32,36,32,44,28,44,32,60,unknow
16,36,24,36,28,32,36,32,44,28,28,32,36,32,44,28,44,32,56,unknow
16,36,24,36,28,36,36,36,44,32,28,36,36,32,44,32,44,36,60,unknow
16,40,24,36,28,36,36,36,44,32,28,36,36,36,44,32,44,36,60,unknow
16,40,24,40,28,36,36,36,44,36,28,40,36,40,44,40,44,40,60,unknow
16,44,24,40,28,40,36,40,44,40,24,40,36,40,40,36,44,40,56,unknow
16,44,24,44,24,40,32,44,44,40,24,44,32,40,44,44,44,40,60,unknow
16,44,24,44,24,44,32,48,44,44,24,44,32,40,40,40,44,44,60,unknow
16,48,24,44,24,44,32,48,44,44,24,44,32,40,36,40,44,44,56,unknow
16,48,24,48,24,44,32,52,44,48,24,44,32,48,40,40,44,48,60,unknow
16,48,20,48,24,48,32,52,40,48,24,48,32,48,40,52,44,48,56,unknow
16,52,24,48,24,48,32,48,44,48,24,52,32,52,44,52,44,48,56,unknow
16,52,24,52,24,52,32,52,40,52,24,48,32,52,44,52,44,52,56,unknow
16,52,24,52,24,52,32,52,44,52,24,52,32,56,40,56,44,52,56,unknow
16,56,24,56,28,52,36,56,40,60,24,52,36,56,40,56,44,56,56,unknow
16,56,24,56,24,56,36,56,40,60,24,56,36,56,40,60,44,56,56,unknow
16,60,24,56,28,56,32,60,40,60,24,56,32,60,40,60,44,56,56,unknow
16,60,24,60,24,56,32,60,44,60,24,60,32,60,44,60,44,60,56,unknow
16,60,24,60,24,60,32,64,44,64,24,60,32,60,44,64,44,60,56,unknow
16,64,20,60,24,60,32,64,44,60,24,60,32,60,44,64,44,60,56,unknow
16,64,20,64,24,60,32,68,44,64,24,64,32,64,40,64,44,64,56,unknow
16,68,20,64,24,60,32,64,40,60,24,64,32,68,40,68,44,64,56,unknow
16,68,20,64,24,64,32,68,40,64,24,64,28,60,36,64,40,64,56,unknow
16,68,20,68,24,64,32,64,40,64,24,68,32,68,40,68,44,64,56,unknow
16,72,20,68,24,68,32,68,44,64,24,68,32,64,44,64,44,68,56,unknow
16,72,20,72,24,68,32,68,44,64,24,72,32,72,40,64,44,68,56,unknow
16,72,20,72,24,72,36,72,44,68,24,68,32,68,44,64,44,68,56,unknow
16,76,20,72,24,72,36,72,44,64,24,72,32,68,40,64,44,72,56,unknow
16,76,24,76,24,72,36,76,40,68,24,72,36,68,44,68,44,72,56,unknow
16,76,24,76,24,76,36,76,40,68,24,76,36,72,44,68,44,76,56,unknow
16,80,24,80,24,76,36,80,40,72,24,76,32,72,44,72,44,76,56,unknow
16,80,24,80,24,76,36,76,44,72,24,80,36,80,40,76,44,76,56,unknow
16,80,24,80,24,80,36,80,44,76,24,80,32,80,40,76,44,80,56,unknow
16,84,24,80,24,80,32,80,40,80,24,80,28,84,40,80,40,80,52,unknow
16,84,20,84,20,84,24,80,20,84,20,84,40,88,20,84,40,84,52,unknow
16,88,24,84,24,84,32,84,44,88,24,84,28,84,40,84,40,84,56,unknow
16,88,0,0,24,88,0,0,40,92,24,84,44,92,80,16,44,88,56,unknow
16,88,0,0,0,0,0,0,44,92,0,36,40,92,80,16,40,88,52,unknow
16,92,0,0,0,0,0,0,48,92,0,40,68,16,80,16,44,88,48,unknow
16,92,0,0,0,0,0,0,0,0,0,20,64,16,76,24,40,88,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,16,68,84,64,88,0,unknow
0,0,0,0,0,0,0,0,76,32,0,52,68,16,68,84,0,0,24,unknow
0,0,0,0,0,0,0,0,56,92,0,0,64,16,68,84,0,0,24,unknow
0,0,0,0,0,0,0,0,56,92,0,48,64,16,80,16,0,0,0,unknow
0,0,76,76,0,0,0,0,0,0,0,52,64,20,68,20,40,92,0,unknow
0,0,72,76,0,0,0,0,0,0,0,48,64,16,72,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,68,28,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,60,16,64,20,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,20,64,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,48,64,16,64,20,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,64,16,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,56,60,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,56,60,20,40,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,48,64,20,72,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,56,60,20,40,24,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,48,64,16,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,84,4,0,48,64,16,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,84,4,0,56,64,16,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,60,20,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,72,36,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,60,20,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,64,16,76,72,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,16,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,76,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,76,24,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,72,36,64,16,64,24,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,24,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,68,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,56,60,20,76,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,68,20,76,36,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,24,64,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,56,64,16,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,52,64,16,68,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,64,16,72,32,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,56,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,76,32,0,44,64,16,72,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,16,72,24,0,0,0,unknow
0,0,0,0,0,0,0,0,76,32,0,52,64,16,84,72,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,64,16,76,44,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,16,68,28,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,20,76,72,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,68,20,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,56,68,20,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,48,64,16,76,72,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,48,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,68,20,80,16,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,64,20,76,40,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,68,20,72,20,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,16,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,20,76,28,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,80,16,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,52,60,20,68,28,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,72,32,0,0,0,unknow
0,0,68,76,0,0,0,0,80,0,0,52,64,20,64,24,0,0,0,unknow
0,0,0,0,0,0,0,0,0,0,0,52,64,20,64,24,0,0,0,unknow
0,0,0,0,0,0,0,0,80,0,0,52,64,20,76,40,0,0,0,unknow
0,0,68,76,0,0,0,0,80,4,0,48,64,20,68,16,0,0,0,unknow
0,0,0,0,0,0,0,0,80,4,0,52,64,16,68,24,0,0,0,unknow
0,0,68,76,0,0,0,0,0,0,0,48,68,20,64,16,0,0,0,unknow
